"ITTER107","Territorio","TIPO_DATO15","Tipo dato","ETA1","Età della madre","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2000","2000",9.78,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2001","2001",9.18,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2002","2002",9.44,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2003","2003",9.31,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2004","2004",9.89,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2005","2005",9.52,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2006","2006",8.7,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2007","2007",8.52,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2008","2008",9.31,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2009","2009",8.82,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2010","2010",8.09,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2011","2011",8.11,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2012","2012",8,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2013","2013",7.45,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2014","2014",7.34,,
"IT","Italia","ASFR","tasso di fecondità specifica per età della madre","Y_UN17","fino a 17 anni","2015","2015",6.46,,
