"ITTER107","Territorio","TIPO_DATO15","Tipo dato","ETA1","Classe di età","SEXISTAT1","Sesso","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2001","2001",2165619,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2002","2002",2165695,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2003","2003",2169876,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2004","2004",2189701,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2005","2005",2202292,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2006","2006",2208364,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2007","2007",2214122,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2008","2008",2245170,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2009","2009",2260921,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2010","2010",2268453,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2011","2011",2273859,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2012","2012",2278547,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2013","2013",2286885,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2014","2014",2285336,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2015","2015",2275771,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2016","2016",2268360,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2017","2017",2262336,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2018","2018",2249616,,
"ITC11","Torino","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2019","2019",2238663,,
"ITC14","Verbano-Cusio-Ossola","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2001","2001",159040,,
"ITC14","Verbano-Cusio-Ossola","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2002","2002",158806,,
"ITC14","Verbano-Cusio-Ossola","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2003","2003",158947,,
"ITC14","Verbano-Cusio-Ossola","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2004","2004",159949,,
"ITC14","Verbano-Cusio-Ossola","JAN","popolazione al 1º gennaio","TOTAL","totale","9","totale","TOTAL","totale","2005","2005",160811,,
