"Region","Year","Employment rate","Unemployment rate"
"Abruzzo","2002",59.209619,8.866168
"Abruzzo","2003",57.992025,8.147338
"Abruzzo","2004",56.405738,7.691624
"Abruzzo","2005",57.058134,7.873179
"Abruzzo","2006",57.648983,6.565144
"Abruzzo","2007",57.933096,6.161378
"Abruzzo","2008",58.807944,6.617431
"Abruzzo","2009",55.722508,7.957827
"Abruzzo","2010",55.375576,8.664318
"Abruzzo","2011",56.628213,8.568764
"Abruzzo","2012",56.661085,10.828533
"Abruzzo","2013",54.954033,11.252408
"Abruzzo","2014",53.945745,12.55167
"Abruzzo","2015",54.501476,12.616515
"Abruzzo","2016",55.730946,12.114501
"Abruzzo","2017",56.806654,11.718716
"Abruzzo","2018",58.013003,10.760712
"Abruzzo","2019",58.239224,11.227121
"Abruzzo","2020",57.524062,9.283193
"Abruzzo","2021",57.807581,9.568934
"Basilicata","2002",49.609119,13.354153
"Basilicata","2003",49.627829,13.296563
"Basilicata","2004",49.12993,12.874522
"Basilicata","2005",49.164227,12.292192
"Basilicata","2006",50.233962,10.569109
"Basilicata","2007",49.530199,9.432953
"Basilicata","2008",49.611858,10.992651
"Basilicata","2009",48.38424,11.222414
"Basilicata","2010",47.064789,12.902102
"Basilicata","2011",47.61183,11.892785
"Basilicata","2012",46.829043,14.505649
"Basilicata","2013",46.17887,15.239447
"Basilicata","2014",47.188267,14.726464
"Basilicata","2015",49.193407,13.693915
"Basilicata","2016",50.326368,13.281078
"Basilicata","2017",49.494637,12.809676
"Basilicata","2018",49.388406,12.497894
"Basilicata","2019",50.787647,10.764903
"Basilicata","2020",50.610798,8.604271
"Basilicata","2021",52.549263,8.440469
"Calabria","2002",45.279067,17.774962
"Calabria","2003",45.207959,16.342139
"Calabria","2004",46.153608,14.04009
"Calabria","2005",44.51882,14.244125
"Calabria","2006",45.448289,12.761693
"Calabria","2007",44.8543,11.129754
"Calabria","2008",44.02132,12.013911
"Calabria","2009",43.004185,11.308793
"Calabria","2010",42.103423,11.858828
"Calabria","2011",42.436235,12.650869
"Calabria","2012",41.470505,19.361264
"Calabria","2013",38.949237,22.264278
"Calabria","2014",39.31193,23.415318
"Calabria","2015",38.91355,22.92606
"Calabria","2016",39.62746,23.159741
"Calabria","2017",40.837792,21.585538
"Calabria","2018",42.152182,21.595781
"Calabria","2019",41.968225,21.003595
"Calabria","2020",41.070596,20.100448
"Calabria","2021",42.041487,18.40225
"Campania","2002",45.470752,17.570552
"Campania","2003",45.770024,16.644636
"Campania","2004",45.234163,15.416607
"Campania","2005",44.046371,14.895535
"Campania","2006",44.115417,12.843292
"Campania","2007",43.666479,11.176395
"Campania","2008",42.398161,12.544476
"Campania","2009",40.767505,12.919312
"Campania","2010",39.784432,13.938253
"Campania","2011",39.353353,15.395715
"Campania","2012",39.890684,19.240809
"Campania","2013",39.709444,21.450816
"Campania","2014",39.170286,21.740833
"Campania","2015",39.576877,19.797098
"Campania","2016",41.162021,20.365055
"Campania","2017",42.048754,20.920887
"Campania","2018",41.641068,20.374655
"Campania","2019",41.482555,20.026319
"Campania","2020",40.855506,17.933899
"Campania","2021",41.347151,19.666569
"Emilia-Romagna","2002",69.871623,2.543064
"Emilia-Romagna","2003",69.556678,3.061929
"Emilia-Romagna","2004",68.34824,3.69484
"Emilia-Romagna","2005",68.431049,3.889453
"Emilia-Romagna","2006",69.373354,3.388126
"Emilia-Romagna","2007",70.186629,2.849363
"Emilia-Romagna","2008",70.159335,3.185249
"Emilia-Romagna","2009",68.384136,4.730837
"Emilia-Romagna","2010",67.315528,5.618916
"Emilia-Romagna","2011",67.803696,5.231784
"Emilia-Romagna","2012",67.502029,6.982607
"Emilia-Romagna","2013",66.24904,8.363228
"Emilia-Romagna","2014",66.264464,8.311636
"Emilia-Romagna","2015",66.699383,7.737063
"Emilia-Romagna","2016",68.390617,6.943011
"Emilia-Romagna","2017",68.584517,6.529396
"Emilia-Romagna","2018",69.601032,5.850622
"Emilia-Romagna","2019",70.394067,5.543042
"Emilia-Romagna","2020",68.763958,5.719074
"Emilia-Romagna","2021",68.471751,5.56329
"Friuli-Venezia Giulia","2002",63.819482,4.373561
"Friuli-Venezia Giulia","2003",63.120501,5.065655
"Friuli-Venezia Giulia","2004",62.59793,3.973554
"Friuli-Venezia Giulia","2005",63.158531,4.174618
"Friuli-Venezia Giulia","2006",64.777175,3.473435
"Friuli-Venezia Giulia","2007",65.386883,3.403962
"Friuli-Venezia Giulia","2008",65.184613,4.263738
"Friuli-Venezia Giulia","2009",63.477053,5.21489
"Friuli-Venezia Giulia","2010",63.591538,5.691168
"Friuli-Venezia Giulia","2011",64.209507,5.16194
"Friuli-Venezia Giulia","2012",63.642054,6.744653
"Friuli-Venezia Giulia","2013",62.96331,7.692738
"Friuli-Venezia Giulia","2014",63.112487,7.995479
"Friuli-Venezia Giulia","2015",63.657265,8.001827
"Friuli-Venezia Giulia","2016",64.662718,7.535446
"Friuli-Venezia Giulia","2017",65.721984,6.71819
"Friuli-Venezia Giulia","2018",66.272239,6.690111
"Friuli-Venezia Giulia","2019",66.602999,6.117857
"Friuli-Venezia Giulia","2020",67.087826,5.642645
"Friuli-Venezia Giulia","2021",67.362666,5.803563
"Lazio","2002",55.606285,8.380814
"Lazio","2003",57.167067,9.189365
"Lazio","2004",58.730303,7.88517
"Lazio","2005",58.517031,7.731251
"Lazio","2006",59.381312,7.524535
"Lazio","2007",59.514091,6.384626
"Lazio","2008",60.228552,7.466821
"Lazio","2009",59.515639,8.387542
"Lazio","2010",59.125021,9.1709
"Lazio","2011",58.835157,8.730179
"Lazio","2012",58.830196,10.606974
"Lazio","2013",57.749392,11.974467
"Lazio","2014",58.764622,12.505003
"Lazio","2015",58.976805,11.823837
"Lazio","2016",59.906115,11.128278
"Lazio","2017",60.883121,10.659667
"Lazio","2018",60.907382,11.140634
"Lazio","2019",61.226097,9.927102
"Lazio","2020",60.21089,9.085814
"Lazio","2021",59.835664,10.20351
"Liguria","2002",61.708131,7.475302
"Liguria","2003",60.46597,6.524995
"Liguria","2004",60.61671,5.847204
"Liguria","2005",60.968326,5.771429
"Liguria","2006",62.097453,4.797384
"Liguria","2007",63.469979,4.824058
"Liguria","2008",63.643494,5.355984
"Liguria","2009",63.225825,5.772134
"Liguria","2010",62.738299,6.596895
"Liguria","2011",62.975251,6.417787
"Liguria","2012",61.985405,8.062054
"Liguria","2013",60.618409,9.823508
"Liguria","2014",60.723079,10.847588
"Liguria","2015",62.384052,9.190761
"Liguria","2016",62.719147,9.738151
"Liguria","2017",62.368224,9.462251
"Liguria","2018",62.960906,9.89856
"Liguria","2019",63.261372,9.59674
"Liguria","2020",62.692835,8.297848
"Liguria","2021",63.509656,8.536494
"Lombardia","2002",64.662192,3.344505
"Lombardia","2003",65.262489,3.561449
"Lombardia","2004",65.499906,4.065762
"Lombardia","2005",65.507266,4.1184
"Lombardia","2006",66.515105,3.703397
"Lombardia","2007",66.669971,3.399884
"Lombardia","2008",66.913999,3.696468
"Lombardia","2009",65.696554,5.293421
"Lombardia","2010",64.964022,5.543201
"Lombardia","2011",64.573026,5.683875
"Lombardia","2012",64.529674,7.408029
"Lombardia","2013",64.764656,8.026834
"Lombardia","2014",64.855464,8.18985
"Lombardia","2015",65.135771,7.873209
"Lombardia","2016",66.225011,7.39798
"Lombardia","2017",67.257799,6.411231
"Lombardia","2018",67.694749,6.031202
"Lombardia","2019",68.369693,5.620432
"Lombardia","2020",66.877419,5.026589
"Lombardia","2021",66.524483,5.963816
"Marche","2002",63.625944,4.950542
"Marche","2003",64.098366,4.62617
"Marche","2004",63.947693,5.329693
"Marche","2005",63.456019,4.850808
"Marche","2006",64.356587,4.557197
"Marche","2007",64.809829,4.111038
"Marche","2008",64.709191,4.654408
"Marche","2009",63.624592,6.610115
"Marche","2010",63.730065,5.658888
"Marche","2011",62.441303,6.790852
"Marche","2012",62.582504,9.052617
"Marche","2013",61.051651,10.945826
"Marche","2014",62.397736,10.090266
"Marche","2015",62.144694,9.949743
"Marche","2016",62.226283,10.60513
"Marche","2017",62.183865,10.555517
"Marche","2018",64.662192,8.067201
"Marche","2019",64.959741,8.642232
"Marche","2020",64.077211,7.373051
"Marche","2021",64.137409,7.283222
"Molise","2002",53.277885,8.836002
"Molise","2003",51.790901,10.590351
"Molise","2004",52.110124,11.104145
"Molise","2005",51.209601,9.88251
"Molise","2006",52.350752,9.870526
"Molise","2007",53.593595,8.062333
"Molise","2008",54.117248,9.134434
"Molise","2009",52.179034,9.0035
"Molise","2010",51.01334,8.393143
"Molise","2011",50.269541,9.935038
"Molise","2012",50.619918,11.973847
"Molise","2013",47.572474,15.618981
"Molise","2014",48.484388,15.180016
"Molise","2015",49.382673,14.32902
"Molise","2016",51.861436,12.814747
"Molise","2017",51.708713,14.598409
"Molise","2018",53.454863,12.989636
"Molise","2019",54.51675,12.193766
"Molise","2020",53.546558,9.514595
"Molise","2021",52.332708,11.189439
"Piemonte","2002",62.380618,6.382212
"Piemonte","2003",62.90419,5.416458
"Piemonte","2004",63.460613,5.340348
"Piemonte","2005",63.975641,4.708072
"Piemonte","2006",64.711293,4.083527
"Piemonte","2007",64.865765,4.201828
"Piemonte","2008",65.188535,5.079194
"Piemonte","2009",63.903064,6.783735
"Piemonte","2010",63.471975,7.516071
"Piemonte","2011",64.17793,7.560364
"Piemonte","2012",63.63768,9.19603
"Piemonte","2013",62.203157,10.53161
"Piemonte","2014",62.389577,11.294452
"Piemonte","2015",63.665828,10.220142
"Piemonte","2016",64.439413,9.34872
"Piemonte","2017",65.190837,9.111234
"Piemonte","2018",65.89485,8.21728
"Piemonte","2019",66.019135,7.64651
"Piemonte","2020",64.552657,7.515081
"Piemonte","2021",65.041176,7.473577
"Puglia","2002",46.226022,13.311384
"Puglia","2003",45.416346,14.958621
"Puglia","2004",45.103047,15.272628
"Puglia","2005",44.392908,14.556307
"Puglia","2006",45.678762,12.61973
"Puglia","2007",46.59317,11.088739
"Puglia","2008",46.579133,11.602327
"Puglia","2009",44.909423,12.620016
"Puglia","2010",44.31302,13.473605
"Puglia","2011",44.717406,13.152456
"Puglia","2012",44.880597,15.722753
"Puglia","2013",42.333334,19.7356
"Puglia","2014",42.138906,21.4637
"Puglia","2015",43.294818,19.665586
"Puglia","2016",44.27628,19.408375
"Puglia","2017",44.517219,18.843294
"Puglia","2018",45.544165,16.024802
"Puglia","2019",46.321474,14.889283
"Puglia","2020",46.149365,14.037291
"Puglia","2021",46.667995,14.788561
"Sardegna","2002",52.37151,13.480634
"Sardegna","2003",51.229849,14.030383
"Sardegna","2004",51.487866,13.673436
"Sardegna","2005",51.39736,12.798763
"Sardegna","2006",52.101609,10.746717
"Sardegna","2007",52.77565,9.811813
"Sardegna","2008",52.325067,12.178994
"Sardegna","2009",50.783691,13.187076
"Sardegna","2010",50.965964,14.025148
"Sardegna","2011",51.718086,13.538202
"Sardegna","2012",51.713016,15.418288
"Sardegna","2013",48.317613,17.472186
"Sardegna","2014",48.55451,18.628353
"Sardegna","2015",50.147609,17.354923
"Sardegna","2016",50.298861,17.2524
"Sardegna","2017",50.456956,17.012118
"Sardegna","2018",52.73463,15.37389
"Sardegna","2019",53.822538,14.717535
"Sardegna","2020",52.101181,13.253135
"Sardegna","2021",53.552692,13.782414
"Sicilia","2002",43.883753,20.585492
"Sicilia","2003",43.255634,20.028732
"Sicilia","2004",43.328926,17.054446
"Sicilia","2005",44.083838,16.100755
"Sicilia","2006",45.017808,13.407173
"Sicilia","2007",44.554316,12.89701
"Sicilia","2008",44.146778,13.689715
"Sicilia","2009",43.574466,13.759448
"Sicilia","2010",42.683882,14.606031
"Sicilia","2011",42.374448,14.255532
"Sicilia","2012",41.298608,18.382228
"Sicilia","2013",39.329118,20.981426
"Sicilia","2014",39.014836,22.171956
"Sicilia","2015",39.97773,21.404279
"Sicilia","2016",40.102634,22.083753
"Sicilia","2017",40.627694,21.486222
"Sicilia","2018",40.673495,21.456826
"Sicilia","2019",41.085614,20.008855
"Sicilia","2020",40.995555,17.874627
"Sicilia","2021",41.068477,19.046629
"Toscana","2002",64.193488,4.050434
"Toscana","2003",63.786271,4.861212
"Toscana","2004",63.285152,5.193216
"Toscana","2005",63.712367,5.351915
"Toscana","2006",64.680172,4.841187
"Toscana","2007",64.659712,4.361926
"Toscana","2008",65.25311,5.040445
"Toscana","2009",64.7132,5.767092
"Toscana","2010",63.709804,6.044718
"Toscana","2011",63.565442,6.334047
"Toscana","2012",63.742242,7.791731
"Toscana","2013",63.715799,8.680321
"Toscana","2014",63.801965,10.105057
"Toscana","2015",64.813511,9.181645
"Toscana","2016",65.323494,9.481157
"Toscana","2017",66.027384,8.570625
"Toscana","2018",66.528106,7.338926
"Toscana","2019",66.891634,6.749556
"Toscana","2020",66.123431,6.618514
"Toscana","2021",65.638397,7.738147
"Trentino Alto Adige / Südtirol","2002",66.329633,3.285258
"Trentino Alto Adige / Südtirol","2003",67.184472,2.801879
"Trentino Alto Adige / Südtirol","2004",67.377737,2.938702
"Trentino Alto Adige / Südtirol","2005",67.003891,3.168836
"Trentino Alto Adige / Südtirol","2006",67.39433,2.828854
"Trentino Alto Adige / Südtirol","2007",67.954472,2.747221
"Trentino Alto Adige / Südtirol","2008",68.518151,2.794996
"Trentino Alto Adige / Südtirol","2009",68.407393,3.180001
"Trentino Alto Adige / Südtirol","2010",68.40767,3.458494
"Trentino Alto Adige / Südtirol","2011",68.410592,3.850587
"Trentino Alto Adige / Südtirol","2012",68.534927,5.079671
"Trentino Alto Adige / Südtirol","2013",68.428986,5.395915
"Trentino Alto Adige / Südtirol","2014",68.331488,5.669909
"Trentino Alto Adige / Südtirol","2015",68.696645,5.29696
"Trentino Alto Adige / Südtirol","2016",69.326554,5.241546
"Trentino Alto Adige / Südtirol","2017",70.202186,4.35934
"Trentino Alto Adige / Südtirol","2018",70.850343,3.801829
"Trentino Alto Adige / Südtirol","2019",71.263612,3.940547
"Trentino Alto Adige / Südtirol","2020",69.745226,4.504503
"Trentino Alto Adige / Südtirol","2021",69.002645,4.340155
"Umbria","2002",62.276583,7.087427
"Umbria","2003",60.965668,6.529581
"Umbria","2004",61.382572,5.783741
"Umbria","2005",61.62181,5.990899
"Umbria","2006",62.789249,5.068113
"Umbria","2007",64.559449,4.618093
"Umbria","2008",65.29967,4.764511
"Umbria","2009",62.856247,6.579395
"Umbria","2010",62.583354,6.610417
"Umbria","2011",62.249886,6.390697
"Umbria","2012",61.498853,9.466774
"Umbria","2013",60.897214,10.328976
"Umbria","2014",61.022044,11.307851
"Umbria","2015",63.103134,10.422333
"Umbria","2016",62.728603,9.571608
"Umbria","2017",62.94327,10.530934
"Umbria","2018",63.044004,9.203678
"Umbria","2019",64.631144,8.464662
"Umbria","2020",63.485368,8.170431
"Umbria","2021",64.41571,6.785093
"Valle d'Aosta / Vallée d'Aoste","2002",70.692094,2.554935
"Valle d'Aosta / Vallée d'Aoste","2003",67.52281,3.490813
"Valle d'Aosta / Vallée d'Aoste","2004",67.155984,2.987054
"Valle d'Aosta / Vallée d'Aoste","2005",66.418148,3.213451
"Valle d'Aosta / Vallée d'Aoste","2006",67.015267,2.935949
"Valle d'Aosta / Vallée d'Aoste","2007",68.187126,3.171709
"Valle d'Aosta / Vallée d'Aoste","2008",67.843837,3.311833
"Valle d'Aosta / Vallée d'Aoste","2009",66.824737,4.517867
"Valle d'Aosta / Vallée d'Aoste","2010",67.341212,4.459987
"Valle d'Aosta / Vallée d'Aoste","2011",66.880368,5.250544
"Valle d'Aosta / Vallée d'Aoste","2012",66.322907,7.107765
"Valle d'Aosta / Vallée d'Aoste","2013",65.616298,8.257127
"Valle d'Aosta / Vallée d'Aoste","2014",66.169306,8.916829
"Valle d'Aosta / Vallée d'Aoste","2015",66.185613,8.879693
"Valle d'Aosta / Vallée d'Aoste","2016",66.430849,8.673983
"Valle d'Aosta / Vallée d'Aoste","2017",67.072482,7.799016
"Valle d'Aosta / Vallée d'Aoste","2018",67.874802,7.035465
"Valle d'Aosta / Vallée d'Aoste","2019",68.378265,6.485692
"Valle d'Aosta / Vallée d'Aoste","2020",67.243624,5.827648
"Valle d'Aosta / Vallée d'Aoste","2021",66.543634,7.284268
"Veneto","2002",63.882951,4.428281
"Veneto","2003",64.684469,3.905476
"Veneto","2004",64.395253,4.313161
"Veneto","2005",64.628422,4.248014
"Veneto","2006",65.281598,4.086374
"Veneto","2007",65.694713,3.367744
"Veneto","2008",66.448394,3.442695
"Veneto","2009",64.577465,4.704769
"Veneto","2010",64.366782,5.66645
"Veneto","2011",64.88681,4.903937
"Veneto","2012",64.90734,6.430396
"Veneto","2013",63.053219,7.591635
"Veneto","2014",63.715179,7.484236
"Veneto","2015",63.613113,7.09312
"Veneto","2016",64.735107,6.768914
"Veneto","2017",66.037638,6.328383
"Veneto","2018",66.649017,6.445956
"Veneto","2019",67.509255,5.648959
"Veneto","2020",65.945328,5.791766
"Veneto","2021",65.691737,5.360404
