"Year","Region","Età","Abortions"
2010,"Piemonte","25-29 anni",20.25
2011,"Piemonte","25-29 anni",20.41
2012,"Piemonte","25-29 anni",20.6
2013,"Piemonte","25-29 anni",19.81
2014,"Piemonte","25-29 anni",21.42
2015,"Piemonte","25-29 anni",19.53
2016,"Piemonte","25-29 anni",20.44
2017,"Piemonte","25-29 anni",20.07
2018,"Piemonte","25-29 anni",20.62
2019,"Piemonte","25-29 anni",19.73
2020,"Piemonte","25-29 anni",20.79
2021,"Piemonte","25-29 anni",19.23
2022,"Piemonte","25-29 anni",21.06
2010,"Valle d'Aosta / Vallée d'Aoste","25-29 anni",19.28
2011,"Valle d'Aosta / Vallée d'Aoste","25-29 anni",22.8
2012,"Valle d'Aosta / Vallée d'Aoste","25-29 anni",21.49
2013,"Valle d'Aosta / Vallée d'Aoste","25-29 anni",21.16
2014,"Valle d'Aosta / Vallée d'Aoste","25-29 anni",19.05
2015,"Valle d'Aosta / Vallée d'Aoste","25-29 anni",25.13
2016,"Valle d'Aosta / Vallée d'Aoste","25-29 anni",21.76
2017,"Valle d'Aosta / Vallée d'Aoste","25-29 anni",19.76
2018,"Valle d'Aosta / Vallée d'Aoste","25-29 anni",20.95
2019,"Valle d'Aosta / Vallée d'Aoste","25-29 anni",15.82
2020,"Valle d'Aosta / Vallée d'Aoste","25-29 anni",17.8
2021,"Valle d'Aosta / Vallée d'Aoste","25-29 anni",17.65
2022,"Valle d'Aosta / Vallée d'Aoste","25-29 anni",20.8
2010,"Liguria","25-29 anni",19.81
2011,"Liguria","25-29 anni",20.28
2012,"Liguria","25-29 anni",20.4
2013,"Liguria","25-29 anni",20.11
2014,"Liguria","25-29 anni",19.61
2015,"Liguria","25-29 anni",20.38
2016,"Liguria","25-29 anni",21.2
2017,"Liguria","25-29 anni",20.87
2018,"Liguria","25-29 anni",22.73
2019,"Liguria","25-29 anni",20.31
2020,"Liguria","25-29 anni",23.24
2021,"Liguria","25-29 anni",20.28
2022,"Liguria","25-29 anni",20.8
2010,"Lombardia","25-29 anni",20.32
2011,"Lombardia","25-29 anni",20.31
2012,"Lombardia","25-29 anni",19.58
2013,"Lombardia","25-29 anni",20.17
2014,"Lombardia","25-29 anni",19.5
2015,"Lombardia","25-29 anni",20.29
2016,"Lombardia","25-29 anni",20.12
2017,"Lombardia","25-29 anni",20.17
2018,"Lombardia","25-29 anni",20.03
2019,"Lombardia","25-29 anni",19.41
2020,"Lombardia","25-29 anni",19.66
2021,"Lombardia","25-29 anni",20.1
2022,"Lombardia","25-29 anni",20.09
2010,"Trentino Alto Adige / Südtirol","25-29 anni",18.71
2011,"Trentino Alto Adige / Südtirol","25-29 anni",19.21
2012,"Trentino Alto Adige / Südtirol","25-29 anni",19.23
2013,"Trentino Alto Adige / Südtirol","25-29 anni",19.3
2014,"Trentino Alto Adige / Südtirol","25-29 anni",20.85
2015,"Trentino Alto Adige / Südtirol","25-29 anni",21.14
2016,"Trentino Alto Adige / Südtirol","25-29 anni",19.24
2017,"Trentino Alto Adige / Südtirol","25-29 anni",21.02
2018,"Trentino Alto Adige / Südtirol","25-29 anni",20.35
2019,"Trentino Alto Adige / Südtirol","25-29 anni",23.41
2020,"Trentino Alto Adige / Südtirol","25-29 anni",21.06
2021,"Trentino Alto Adige / Südtirol","25-29 anni",20.54
2022,"Trentino Alto Adige / Südtirol","25-29 anni",20.67
2010,"Veneto","25-29 anni",20.59
2011,"Veneto","25-29 anni",20.18
2012,"Veneto","25-29 anni",19.94
2013,"Veneto","25-29 anni",19.85
2014,"Veneto","25-29 anni",19.12
2015,"Veneto","25-29 anni",22.89
2016,"Veneto","25-29 anni",21.07
2017,"Veneto","25-29 anni",21.49
2018,"Veneto","25-29 anni",18.97
2019,"Veneto","25-29 anni",20.32
2020,"Veneto","25-29 anni",19.78
2021,"Veneto","25-29 anni",20.26
2022,"Veneto","25-29 anni",19.3
2010,"Friuli-Venezia Giulia","25-29 anni",20.95
2011,"Friuli-Venezia Giulia","25-29 anni",20.77
2012,"Friuli-Venezia Giulia","25-29 anni",19.16
2013,"Friuli-Venezia Giulia","25-29 anni",19
2014,"Friuli-Venezia Giulia","25-29 anni",18.92
2015,"Friuli-Venezia Giulia","25-29 anni",18.29
2016,"Friuli-Venezia Giulia","25-29 anni",20.53
2017,"Friuli-Venezia Giulia","25-29 anni",18.2
2018,"Friuli-Venezia Giulia","25-29 anni",19.94
2019,"Friuli-Venezia Giulia","25-29 anni",20.6
2020,"Friuli-Venezia Giulia","25-29 anni",18.88
2021,"Friuli-Venezia Giulia","25-29 anni",19.96
2022,"Friuli-Venezia Giulia","25-29 anni",20.28
2010,"Emilia-Romagna","25-29 anni",20.88
2011,"Emilia-Romagna","25-29 anni",20.33
2012,"Emilia-Romagna","25-29 anni",20.66
2013,"Emilia-Romagna","25-29 anni",20.43
2014,"Emilia-Romagna","25-29 anni",20.12
2015,"Emilia-Romagna","25-29 anni",20.04
2016,"Emilia-Romagna","25-29 anni",20.15
2017,"Emilia-Romagna","25-29 anni",20.62
2018,"Emilia-Romagna","25-29 anni",21.04
2019,"Emilia-Romagna","25-29 anni",19.95
2020,"Emilia-Romagna","25-29 anni",20.17
2021,"Emilia-Romagna","25-29 anni",20.18
2022,"Emilia-Romagna","25-29 anni",20.66
2010,"Toscana","25-29 anni",19.92
2011,"Toscana","25-29 anni",19.99
2012,"Toscana","25-29 anni",20.89
2013,"Toscana","25-29 anni",20.22
2014,"Toscana","25-29 anni",20.01
2015,"Toscana","25-29 anni",20.35
2016,"Toscana","25-29 anni",20.32
2017,"Toscana","25-29 anni",20.3
2018,"Toscana","25-29 anni",19.03
2019,"Toscana","25-29 anni",19.6
2020,"Toscana","25-29 anni",18.22
2021,"Toscana","25-29 anni",17.59
2022,"Toscana","25-29 anni",19.27
2010,"Umbria","25-29 anni",20.8
2011,"Umbria","25-29 anni",21.62
2012,"Umbria","25-29 anni",19.42
2013,"Umbria","25-29 anni",21.02
2014,"Umbria","25-29 anni",20.79
2015,"Umbria","25-29 anni",22.67
2016,"Umbria","25-29 anni",19.42
2017,"Umbria","25-29 anni",19.3
2018,"Umbria","25-29 anni",20.45
2019,"Umbria","25-29 anni",18.91
2020,"Umbria","25-29 anni",17.06
2021,"Umbria","25-29 anni",17.97
2022,"Umbria","25-29 anni",20.34
2010,"Marche","25-29 anni",19.83
2011,"Marche","25-29 anni",19.8
2012,"Marche","25-29 anni",19.58
2013,"Marche","25-29 anni",18.77
2014,"Marche","25-29 anni",20.48
2015,"Marche","25-29 anni",22.41
2016,"Marche","25-29 anni",18.2
2017,"Marche","25-29 anni",18.99
2018,"Marche","25-29 anni",19.24
2019,"Marche","25-29 anni",19.77
2020,"Marche","25-29 anni",20.12
2021,"Marche","25-29 anni",19.42
2022,"Marche","25-29 anni",19.43
2010,"Lazio","25-29 anni",19.37
2011,"Lazio","25-29 anni",19.61
2012,"Lazio","25-29 anni",19.3
2013,"Lazio","25-29 anni",19.29
2014,"Lazio","25-29 anni",20.33
2015,"Lazio","25-29 anni",20.58
2016,"Lazio","25-29 anni",19.89
2017,"Lazio","25-29 anni",20.55
2018,"Lazio","25-29 anni",20.19
2019,"Lazio","25-29 anni",20.25
2020,"Lazio","25-29 anni",20.92
2021,"Lazio","25-29 anni",19.03
2022,"Lazio","25-29 anni",20.06
2010,"Abruzzo","25-29 anni",21.39
2011,"Abruzzo","25-29 anni",19.81
2012,"Abruzzo","25-29 anni",19.66
2013,"Abruzzo","25-29 anni",21.42
2014,"Abruzzo","25-29 anni",19.85
2015,"Abruzzo","25-29 anni",19.68
2016,"Abruzzo","25-29 anni",20.44
2017,"Abruzzo","25-29 anni",19.95
2018,"Abruzzo","25-29 anni",19.5
2019,"Abruzzo","25-29 anni",20.25
2020,"Abruzzo","25-29 anni",19.69
2021,"Abruzzo","25-29 anni",18.67
2022,"Abruzzo","25-29 anni",18.98
2010,"Molise","25-29 anni",20.32
2011,"Molise","25-29 anni",22.9
2012,"Molise","25-29 anni",22.62
2013,"Molise","25-29 anni",24.95
2014,"Molise","25-29 anni",21.12
2015,"Molise","25-29 anni",17.59
2016,"Molise","25-29 anni",21.95
2017,"Molise","25-29 anni",19.95
2018,"Molise","25-29 anni",22.93
2019,"Molise","25-29 anni",17.22
2020,"Molise","25-29 anni",16.88
2021,"Molise","25-29 anni",19.39
2022,"Molise","25-29 anni",22.96
2010,"Campania","25-29 anni",20.15
2011,"Campania","25-29 anni",20.57
2012,"Campania","25-29 anni",20.53
2013,"Campania","25-29 anni",20.54
2014,"Campania","25-29 anni",20.15
2015,"Campania","25-29 anni",21.03
2016,"Campania","25-29 anni",20.59
2017,"Campania","25-29 anni",21.83
2018,"Campania","25-29 anni",20.77
2019,"Campania","25-29 anni",21.65
2020,"Campania","25-29 anni",19.78
2021,"Campania","25-29 anni",20.51
2022,"Campania","25-29 anni",20.56
2010,"Puglia","25-29 anni",19.49
2011,"Puglia","25-29 anni",19.81
2012,"Puglia","25-29 anni",19.81
2013,"Puglia","25-29 anni",19.43
2014,"Puglia","25-29 anni",19.34
2015,"Puglia","25-29 anni",19.68
2016,"Puglia","25-29 anni",19.69
2017,"Puglia","25-29 anni",19.06
2018,"Puglia","25-29 anni",19.59
2019,"Puglia","25-29 anni",21.01
2020,"Puglia","25-29 anni",19.35
2021,"Puglia","25-29 anni",19.86
2022,"Puglia","25-29 anni",18.31
2010,"Basilicata","25-29 anni",17.28
2011,"Basilicata","25-29 anni",16.91
2012,"Basilicata","25-29 anni",19.89
2013,"Basilicata","25-29 anni",20.89
2014,"Basilicata","25-29 anni",19.92
2015,"Basilicata","25-29 anni",22.56
2016,"Basilicata","25-29 anni",23.52
2017,"Basilicata","25-29 anni",19.31
2018,"Basilicata","25-29 anni",20.53
2019,"Basilicata","25-29 anni",19.81
2020,"Basilicata","25-29 anni",23.27
2021,"Basilicata","25-29 anni",21.7
2022,"Basilicata","25-29 anni",21.79
2010,"Calabria","25-29 anni",19.41
2011,"Calabria","25-29 anni",20.77
2012,"Calabria","25-29 anni",21.13
2013,"Calabria","25-29 anni",21.33
2014,"Calabria","25-29 anni",21.68
2015,"Calabria","25-29 anni",21.33
2016,"Calabria","25-29 anni",20.13
2017,"Calabria","25-29 anni",22.81
2018,"Calabria","25-29 anni",21.3
2019,"Calabria","25-29 anni",20.53
2020,"Calabria","25-29 anni",21.23
2021,"Calabria","25-29 anni",19.24
2022,"Calabria","25-29 anni",19.97
2010,"Sicilia","25-29 anni",19.96
2011,"Sicilia","25-29 anni",20.26
2012,"Sicilia","25-29 anni",20.59
2013,"Sicilia","25-29 anni",20.86
2014,"Sicilia","25-29 anni",21.4
2015,"Sicilia","25-29 anni",21.62
2016,"Sicilia","25-29 anni",20.88
2017,"Sicilia","25-29 anni",21.73
2018,"Sicilia","25-29 anni",21.39
2019,"Sicilia","25-29 anni",21.4
2020,"Sicilia","25-29 anni",21.06
2021,"Sicilia","25-29 anni",20.81
2022,"Sicilia","25-29 anni",21.97
2010,"Sardegna","25-29 anni",20.5
2011,"Sardegna","25-29 anni",19.86
2012,"Sardegna","25-29 anni",20.12
2013,"Sardegna","25-29 anni",18.75
2014,"Sardegna","25-29 anni",19.09
2015,"Sardegna","25-29 anni",19.24
2016,"Sardegna","25-29 anni",19.01
2017,"Sardegna","25-29 anni",18.48
2018,"Sardegna","25-29 anni",22.08
2019,"Sardegna","25-29 anni",23.67
2020,"Sardegna","25-29 anni",18.62
2021,"Sardegna","25-29 anni",20.65
2022,"Sardegna","25-29 anni",18.25
2010,"Piemonte","30-34 anni",22.31
2011,"Piemonte","30-34 anni",21.69
2012,"Piemonte","30-34 anni",20.85
2013,"Piemonte","30-34 anni",21.95
2014,"Piemonte","30-34 anni",21.97
2015,"Piemonte","30-34 anni",22.2
