"Territorio" "Classe.di.età" "TIME" "Value"
"Nord" "15-24 anni" "2004" 37.126034
"Nord" "15-24 anni" "2005" 35.060347
"Nord" "15-24 anni" "2006" 33.916213
"Nord" "15-24 anni" "2007" 32.492549
"Nord" "15-24 anni" "2008" 31.739138
"Nord" "15-24 anni" "2009" 28.046668
"Nord" "15-24 anni" "2010" 25.922246
"Nord" "15-24 anni" "2011" 24.790687
"Nord" "15-24 anni" "2012" 23.72936
"Nord" "15-24 anni" "2013" 20.893376
"Nord" "15-24 anni" "2014" 20.324441
"Nord" "15-24 anni" "2015" 19.579906
"Nord" "15-24 anni" "2016" 20.694972
"Nord" "15-24 anni" "2017" 21.8773
"Nord" "15-24 anni" "2018" 22.644736
"Nord" "15-24 anni" "2019" 23.850262
"Nord" "15-24 anni" "2020" 21.43958
"Nord" "15-24 anni" "2021" 21.79326
"Centro" "15-24 anni" "2004" 27.220636
"Centro" "15-24 anni" "2005" 25.274081
"Centro" "15-24 anni" "2006" 25.990914
"Centro" "15-24 anni" "2007" 25.418485
"Centro" "15-24 anni" "2008" 25.27893
"Centro" "15-24 anni" "2009" 22.822202
"Centro" "15-24 anni" "2010" 21.183539
"Centro" "15-24 anni" "2011" 19.943427
"Centro" "15-24 anni" "2012" 18.786872
"Centro" "15-24 anni" "2013" 16.482202
"Centro" "15-24 anni" "2014" 15.566904
"Centro" "15-24 anni" "2015" 16.482567
"Centro" "15-24 anni" "2016" 17.025181
"Centro" "15-24 anni" "2017" 17.651203
"Centro" "15-24 anni" "2018" 17.767439
"Centro" "15-24 anni" "2019" 17.770831
"Centro" "15-24 anni" "2020" 15.816341
"Centro" "15-24 anni" "2021" 17.277517
"Nord" "25-34 anni" "2004" 82.330569
"Nord" "25-34 anni" "2005" 82.286909
"Nord" "25-34 anni" "2006" 82.566241
"Nord" "25-34 anni" "2007" 82.541772
"Nord" "25-34 anni" "2008" 82.744488
"Nord" "25-34 anni" "2009" 79.7733
"Nord" "25-34 anni" "2010" 78.142167
"Nord" "25-34 anni" "2011" 78.141835
"Nord" "25-34 anni" "2012" 75.992598
"Nord" "25-34 anni" "2013" 72.801649
"Nord" "25-34 anni" "2014" 72.260475
"Nord" "25-34 anni" "2015" 72.416662
"Nord" "25-34 anni" "2016" 73.400718
"Nord" "25-34 anni" "2017" 74.509357
"Nord" "25-34 anni" "2018" 75.384165
"Nord" "25-34 anni" "2019" 76.075164
"Nord" "25-34 anni" "2020" 72.975316
"Nord" "25-34 anni" "2021" 74.958039
"Centro" "25-34 anni" "2004" 74.234169
"Centro" "25-34 anni" "2005" 72.707059
"Centro" "25-34 anni" "2006" 74.712195
"Centro" "25-34 anni" "2007" 74.4392
"Centro" "25-34 anni" "2008" 74.856358
"Centro" "25-34 anni" "2009" 72.249414
"Centro" "25-34 anni" "2010" 71.327121
"Centro" "25-34 anni" "2011" 69.552644
"Centro" "25-34 anni" "2012" 68.01136
"Centro" "25-34 anni" "2013" 65.31952
"Centro" "25-34 anni" "2014" 65.647644
"Centro" "25-34 anni" "2015" 65.184418
"Centro" "25-34 anni" "2016" 65.29507
"Centro" "25-34 anni" "2017" 66.207379
"Centro" "25-34 anni" "2018" 66.032849
"Centro" "25-34 anni" "2019" 66.87409
"Centro" "25-34 anni" "2020" 64.800877
"Centro" "25-34 anni" "2021" 66.434051
"Nord" "35-44 anni" "2018" 83.571674
"Nord" "35-44 anni" "2019" 83.823331
"Nord" "35-44 anni" "2020" 82.450322
"Nord" "35-44 anni" "2021" 83.164076
"Centro" "35-44 anni" "2018" 78.780305
"Centro" "35-44 anni" "2019" 78.866333
"Centro" "35-44 anni" "2020" 76.567654
"Centro" "35-44 anni" "2021" 77.586795
"Nord" "45-54 anni" "2018" 81.839461
"Nord" "45-54 anni" "2019" 82.834675
"Nord" "45-54 anni" "2020" 81.367322
"Nord" "45-54 anni" "2021" 82.842398
"Centro" "45-54 anni" "2018" 76.580545
"Centro" "45-54 anni" "2019" 77.694607
"Centro" "45-54 anni" "2020" 76.796064
"Centro" "45-54 anni" "2021" 76.495385
"Nord" "55-64 anni" "2018" 57.070384
"Nord" "55-64 anni" "2019" 58.276498
