"Territorio" "Classe.di.età" "TIME" "Value"
"Piemonte" "15-24 anni" "2018" 20.705267
"Piemonte" "15-24 anni" "2019" 20.905239
"Piemonte" "15-24 anni" "2020" 20.440931
"Piemonte" "15-24 anni" "2021" 21.22906
"Valle d'Aosta / Vallée d'Aoste" "15-24 anni" "2018" 22.712334
"Valle d'Aosta / Vallée d'Aoste" "15-24 anni" "2019" 22.436173
"Valle d'Aosta / Vallée d'Aoste" "15-24 anni" "2020" 18.760713
"Valle d'Aosta / Vallée d'Aoste" "15-24 anni" "2021" 20.202622
"Liguria" "15-24 anni" "2018" 16.262714
"Liguria" "15-24 anni" "2019" 16.478001
"Liguria" "15-24 anni" "2020" 14.542493
"Liguria" "15-24 anni" "2021" 17.541224
"Lombardia" "15-24 anni" "2018" 23.079914
"Lombardia" "15-24 anni" "2019" 24.135676
"Lombardia" "15-24 anni" "2020" 21.178471
"Lombardia" "15-24 anni" "2021" 21.595993
"Trentino Alto Adige / Südtirol" "15-24 anni" "2018" 30.959286
"Trentino Alto Adige / Südtirol" "15-24 anni" "2019" 32.93218
"Trentino Alto Adige / Südtirol" "15-24 anni" "2020" 30.922162
"Trentino Alto Adige / Südtirol" "15-24 anni" "2021" 31.654738
"Veneto" "15-24 anni" "2018" 22.986773
"Veneto" "15-24 anni" "2019" 25.488193
"Veneto" "15-24 anni" "2020" 22.171788
"Veneto" "15-24 anni" "2021" 22.227199
"Friuli-Venezia Giulia" "15-24 anni" "2018" 19.525621
"Friuli-Venezia Giulia" "15-24 anni" "2019" 21.673305
"Friuli-Venezia Giulia" "15-24 anni" "2020" 21.933627
"Friuli-Venezia Giulia" "15-24 anni" "2021" 23.519265
"Emilia-Romagna" "15-24 anni" "2018" 23.608617
"Emilia-Romagna" "15-24 anni" "2019" 24.4868
"Emilia-Romagna" "15-24 anni" "2020" 21.594474
"Emilia-Romagna" "15-24 anni" "2021" 20.414778
"Toscana" "15-24 anni" "2018" 19.731606
"Toscana" "15-24 anni" "2019" 20.204505
"Toscana" "15-24 anni" "2020" 17.818336
"Toscana" "15-24 anni" "2021" 19.503036
"Umbria" "15-24 anni" "2018" 17.559103
"Umbria" "15-24 anni" "2019" 17.956295
"Umbria" "15-24 anni" "2020" 15.92774
"Umbria" "15-24 anni" "2021" 16.045474
"Marche" "15-24 anni" "2018" 20.072985
"Marche" "15-24 anni" "2019" 19.561843
"Marche" "15-24 anni" "2020" 16.7188
"Marche" "15-24 anni" "2021" 20.683788
"Lazio" "15-24 anni" "2018" 16.013283
"Lazio" "15-24 anni" "2019" 15.808044
"Lazio" "15-24 anni" "2020" 14.346143
"Lazio" "15-24 anni" "2021" 15.196625
"Piemonte" "25-34 anni" "2018" 72.572451
"Piemonte" "25-34 anni" "2019" 73.916584
"Piemonte" "25-34 anni" "2020" 70.090294
"Piemonte" "25-34 anni" "2021" 73.496319
"Valle d'Aosta / Vallée d'Aoste" "25-34 anni" "2018" 75.669804
"Valle d'Aosta / Vallée d'Aoste" "25-34 anni" "2019" 76.001305
