"Territorio" "Classe.di.età" "TIME" "Value"
"Italia" "15-24 anni" "2004" 27.261452
"Italia" "15-24 anni" "2005" 25.464242
"Italia" "15-24 anni" "2006" 25.290962
"Italia" "15-24 anni" "2007" 24.530991
"Italia" "15-24 anni" "2008" 24.216757
"Italia" "15-24 anni" "2009" 21.449774
"Italia" "15-24 anni" "2010" 20.193085
"Italia" "15-24 anni" "2011" 19.184349
"Italia" "15-24 anni" "2012" 18.444324
"Italia" "15-24 anni" "2013" 16.271337
"Italia" "15-24 anni" "2014" 15.542974
"Italia" "15-24 anni" "2015" 15.601417
"Italia" "15-24 anni" "2016" 16.528869
"Italia" "15-24 anni" "2017" 17.05553
"Italia" "15-24 anni" "2018" 17.591727
"Italia" "15-24 anni" "2019" 18.363208
"Italia" "15-24 anni" "2020" 16.622702
"Italia" "15-24 anni" "2021" 17.527335
"Italia" "25-34 anni" "2004" 70.008549
"Italia" "25-34 anni" "2005" 69.396216
"Italia" "25-34 anni" "2006" 70.214947
"Italia" "25-34 anni" "2007" 70.17754
"Italia" "25-34 anni" "2008" 70.121936
"Italia" "25-34 anni" "2009" 67.08768
"Italia" "25-34 anni" "2010" 65.06885
"Italia" "25-34 anni" "2011" 64.903076
"Italia" "25-34 anni" "2012" 63.329549
"Italia" "25-34 anni" "2013" 59.710108
"Italia" "25-34 anni" "2014" 59.240767
"Italia" "25-34 anni" "2015" 59.5748
"Italia" "25-34 anni" "2016" 60.22071
"Italia" "25-34 anni" "2017" 61.312073
"Italia" "25-34 anni" "2018" 61.887211
"Italia" "25-34 anni" "2019" 62.69274
"Italia" "25-34 anni" "2020" 60.187616
"Italia" "25-34 anni" "2021" 62.610094
"Italia" "35-44 anni" "2018" 73.480849
"Italia" "35-44 anni" "2019" 73.623991
"Italia" "35-44 anni" "2020" 72.302094
"Italia" "35-44 anni" "2021" 72.941727
"Italia" "45-54 anni" "2018" 72.283655
"Italia" "45-54 anni" "2019" 73.194893
"Italia" "45-54 anni" "2020" 72.060885
"Italia" "45-54 anni" "2021" 72.946254
"Italia" "55-64 anni" "2018" 53.483107
"Italia" "55-64 anni" "2019" 54.098287
"Italia" "55-64 anni" "2020" 53.262647
"Italia" "55-64 anni" "2021" 53.406821
