"Year","Region","Women.enrolled","Rinunce"
"2012","Abruzzo","0.604554664073264",9.7
"2012","Basilicata","0.561374795417349",8.9
"2012","Calabria","0.587406273308994",14.8
"2012","Campania","0.585797059907457",18.2
"2012","Emilia-Romagna","0.560656993319433",14.2
"2012","Friuli-Venezia Giulia","0.551637355973317",12.9
"2012","Lazio","0.543815683428429",9.5
"2012","Liguria","0.559241985949584",15.5
"2012","Lombardia","0.546633722110325",11.5
"2012","Marche","0.560326302393023",12
"2012","Molise","0.585626502805236",9.5
"2012","Piemonte","0.529071443673477",12.8
"2012","Puglia","0.602535791642453",16
"2012","Sardegna","0.619925512104283",19.7
"2012","Sicilia","0.612213423495566",20.1
"2012","Toscana","0.563530289073124",14.7
"2012","Trentino Alto Adige / Südtirol","0.537278657968313",11
"2012","Umbria","0.571619454836986",13.3
"2012","Valle d'Aosta / Vallée d'Aoste","0.724337748344371",16.9
"2012","Veneto","0.589486704940323",11.8
"2013","Abruzzo","0.605841745469204",6.2
"2013","Basilicata","0.5686511128989",12.9
"2013","Calabria","0.588459752478246",12.2
"2013","Campania","0.577553463793246",17.6
"2013","Emilia-Romagna","0.557992255636377",12.3
"2013","Friuli-Venezia Giulia","0.549387189262422",6.4
"2013","Lazio","0.538790241438447",10.1
"2013","Liguria","0.553517380537467",16
"2013","Lombardia","0.54468306132571",11.1
"2013","Marche","0.561223170416343",11.1
"2013","Molise","0.591318591318591",11.8
"2013","Piemonte","0.524833096827649",13.8
"2013","Puglia","0.599089114588503",16.2
"2013","Sardegna","0.616065135496415",21.2
"2013","Sicilia","0.608710365397782",21.7
"2013","Toscana","0.562408798092323",11.9
"2013","Trentino Alto Adige / Südtirol","0.530849400729547",11.8
"2013","Umbria","0.568634793825157",11.9
"2013","Valle d'Aosta / Vallée d'Aoste","0.720068906115418",15.2
"2013","Veneto","0.586403324014859",7.1
"2014","Abruzzo","0.609646734197437",4.8
"2014","Basilicata","0.581627006087438",10.4
"2014","Calabria","0.587299920178129",11.7
"2014","Campania","0.574180826821223",16.9
"2014","Emilia-Romagna","0.556193226607336",10.6
"2014","Friuli-Venezia Giulia","0.544179798840219",6
"2014","Lazio","0.539018590575011",11.2
"2014","Liguria","0.551333746898263",11.5
"2014","Lombardia","0.543384360071965",10.2
"2014","Marche","0.56471938333622",9.4
"2014","Molise","0.589499146272055",5.8
"2014","Piemonte","0.522742192628716",9
"2014","Puglia","0.593361847733105",13.5
"2014","Sardegna","0.613054380588131",17
"2014","Sicilia","0.605823976456621",20.5
"2014","Toscana","0.561188656937656",10.8
"2014","Trentino Alto Adige / Südtirol","0.53033754400497",8.8
"2014","Umbria","0.566468550904349",9.3
"2014","Valle d'Aosta / Vallée d'Aoste","0.725932350390286",13.4
"2014","Veneto","0.581893374433988",7.9
"2015","Abruzzo","0.609005164609464",4.8
"2015","Basilicata","0.570872386445566",8.7
"2015","Calabria","0.585313414309779",14.1
"2015","Campania","0.569288880041072",18.2
"2015","Emilia-Romagna","0.551199796089284",10
"2015","Friuli-Venezia Giulia","0.539545758183033",4.5
"2015","Lazio","0.534669090308188",9.1
"2015","Liguria","0.547740455095927",10.7
"2015","Lombardia","0.541569616354502",10.3
"2015","Marche","0.566649992387829",7.9
"2015","Molise","0.588987924094307",7.2
"2015","Piemonte","0.519415591616457",8.4
"2015","Puglia","0.586573786917315",12.7
"2015","Sardegna","0.606418744181235",14.8
"2015","Sicilia","0.600810341501061",19.6
"2015","Toscana","0.561664757541046",10
"2015","Trentino Alto Adige / Südtirol","0.536796761469794",9.3
"2015","Umbria","0.560090803881421",8.1
"2015","Valle d'Aosta / Vallée d'Aoste","0.718889883616831",12.2
"2015","Veneto","0.581456815619701",6.6
"2016","Abruzzo","0.602790639729242",7.4
"2016","Basilicata","0.571535022354694",9.5
"2016","Calabria","0.58413833956074",13.5
"2016","Campania","0.558117185183671",17.3
"2016","Emilia-Romagna","0.551309296288901",9.8
"2016","Friuli-Venezia Giulia","0.536617218631752",6.6
"2016","Lazio","0.528892059040471",8.3
"2016","Liguria","0.547193796478739",12.7
"2016","Lombardia","0.539124027773079",10.8
"2016","Marche","0.567461001465138",8.9
"2016","Molise","0.58881199538639",5.8
"2016","Piemonte","0.518500290814729",6.4
"2016","Puglia","0.583107000415963",12.3
"2016","Sardegna","0.605641777983682",12.1
"2016","Sicilia","0.59615886529929",19.1
"2016","Toscana","0.561612311043575",8.7
"2016","Trentino Alto Adige / Südtirol","0.534104343356464",6.8
"2016","Umbria","0.569919517102616",5.8
